scale,leverage,spread,cec,wipeout,at_ceiling,levered
0.015,2.0,0.0,0.49443498740821556,0.00018176470588235295,True,True
0.03,2.0,0.0,0.5224152297631581,0.00018176470588235295,True,True
0.05,2.0,0.0,0.55249238481495,0.00018176470588235295,True,True
0.07,1.75,0.0,0.5788453522150011,0.0,False,True
0.09,1.75,0.0,0.6030205169843794,0.0,False,True
0.11,1.75,0.0,0.6252305239819816,0.0,False,True
0.13,1.6,0.0,0.6464514229130844,0.0,False,True
0.15,1.6,0.0,0.6665952665437038,0.0,False,True
0.17,1.6,0.0,0.6857703413426596,0.0,False,True
0.2,1.6,0.0,0.7130320640838773,0.0,False,True
0.25,1.5,0.0,0.7557595385938358,0.0,False,True
0.35,1.5,0.0,0.8332048239330371,0.0,False,True
0.6,1.4,0.0,1.0002931357369917,0.0,False,True
1.0,1.3,0.0,1.2260660552351381,0.0,False,True
0.015,2.0,0.01,0.4912442664294314,0.00018176470588235295,True,True
0.03,2.0,0.01,0.5176516677246803,0.00018176470588235295,True,True
0.05,1.75,0.01,0.5469656426111776,0.0,False,True
0.07,1.75,0.01,0.572784748820061,0.0,False,True
0.09,1.6,0.01,0.5966587012985616,0.0,False,True
0.11,1.6,0.01,0.6187053704886007,0.0,False,True
0.13,1.5,0.01,0.6394274241780613,0.0,False,True
0.15,1.5,0.01,0.6592417505103093,0.0,False,True
0.17,1.5,0.01,0.6781273186702734,0.0,False,True
0.2,1.4,0.01,0.7050991361717709,0.0,False,True
0.25,1.4,0.01,0.7474866395052089,0.0,False,True
0.35,1.3,0.01,0.8245184056741519,0.0,False,True
0.6,1.2,0.01,0.9909326317319386,0.0,False,True
1.0,1.1,0.01,1.2156593592091378,0.0,False,True
0.015,2.0,0.02,0.4882461261978816,0.00018176470588235295,True,True
0.03,1.75,0.02,0.5135685137444856,0.00018176470588235295,False,True
0.05,1.6,0.02,0.5424452499037303,0.0,False,True
0.07,1.5,0.02,0.5679937056428668,0.0,False,True
0.09,1.5,0.02,0.5914444081514846,0.0,False,True
0.11,1.4,0.02,0.6132747815093194,0.0,False,True
0.13,1.4,0.02,0.6339298724899951,0.0,False,True
0.15,1.4,0.02,0.6535079604207024,0.0,False,True
0.17,1.3,0.02,0.6723916912991973,0.0,False,True
0.2,1.3,0.02,0.699393263977456,0.0,False,True
0.25,1.2,0.02,0.741562149074728,0.0,False,True
0.35,1.2,0.02,0.8187574409339596,0.0,False,True
0.6,1.1,0.02,0.9857505378037542,0.0,False,True
1.0,1.0,0.02,1.2118867401093836,0.0,False,False
0.015,1.75,0.03,0.4855431747939194,0.00018176470588235295,False,True
0.03,1.6,0.03,0.5104469745321082,0.0,False,True
0.05,1.4,0.03,0.538933062336253,0.0,False,True
0.07,1.4,0.03,0.5643665337056483,0.0,False,True
0.09,1.3,0.03,0.5877794529723518,0.0,False,True
0.11,1.2,0.03,0.6096050825752716,0.0,False,True
0.13,1.2,0.03,0.6303478616895444,0.0,False,True
0.15,1.2,0.03,0.6500598373999747,0.0,False,True
0.17,1.1,0.03,0.6689522800869964,0.0,False,True
0.2,1.1,0.03,0.6961775326851065,0.0,False,True
0.25,1.1,0.03,0.7387151660947703,0.0,False,True
0.35,1.0,0.03,0.8166190690561366,0.0,False,False
0.6,1.0,0.03,0.9849428156999419,0.0,False,False
1.0,1.0,0.03,1.2118867401093836,0.0,False,False
0.015,1.2,0.05,0.48253600157945087,0.0,False,True
0.03,1.0,0.05,0.5073684294356405,0.0,False,False
0.05,1.0,0.05,0.5363128145485042,0.0,False,False
0.07,1.0,0.05,0.5621818125755118,0.0,False,False
0.09,1.0,0.05,0.5859521350075012,0.0,False,False
0.11,1.0,0.05,0.6081596343843072,0.0,False,False
0.13,1.0,0.05,0.6291393592872586,0.0,False,False
0.15,1.0,0.05,0.6491186304020957,0.0,False,False
0.17,1.0,0.05,0.6682606454793413,0.0,False,False
0.2,1.0,0.05,0.6956631749585952,0.0,False,False
0.25,1.0,0.05,0.7385291354777729,0.0,False,False
0.35,1.0,0.05,0.8166190690561366,0.0,False,False
0.6,1.0,0.05,0.9849428156999419,0.0,False,False
1.0,1.0,0.05,1.2118867401093836,0.0,False,False
