scale,leverage,spread,cec,wipeout
0.015,1.0,0.0,0.4774290119266244,0.0
0.015,1.1,0.0,0.4788942746829873,0.0
0.015,1.2,0.0,0.4803587572346349,0.0
0.015,1.3,0.0,0.48180246352124434,0.0
0.015,1.4,0.0,0.48320448247712444,0.0
0.015,1.5,0.0,0.4845432561449126,0.0
0.015,1.6,0.0,0.4857963227132384,0.0
0.015,1.75,0.0,0.4874588204627888,0.0
0.015,2.0,0.0,0.48959351332476053,0.0002023529411764706
0.015,1.0,0.01,0.4774290119266244,0.0
0.015,1.1,0.01,0.4786226536736145,0.0
0.015,1.2,0.01,0.4797938895570021,0.0
0.015,1.3,0.01,0.4809267238270676,0.0
0.015,1.4,0.01,0.4820047303865801,0.0
0.015,1.5,0.01,0.48301112889401215,0.0
0.015,1.6,0.01,0.4839284314013623,0.0
0.015,1.75,0.01,0.4850926322737107,0.0
0.015,2.0,0.01,0.48645290942842273,0.0002023529411764706
0.015,1.0,0.02,0.4774290119266244,0.0
0.015,1.1,0.02,0.47835381611369016,0.0
0.015,1.2,0.02,0.4792400673283221,0.0
0.015,1.3,0.02,0.4800754799395591,0.0
0.015,1.4,0.02,0.4808476729083804,0.0
0.015,1.5,0.02,0.4815441335556989,0.0
0.015,1.6,0.02,0.48215183672548856,0.0
0.015,1.75,0.02,0.48286309814742423,0.0002023529411764706
0.015,2.0,0.02,0.4835337904122558,0.0002023529411764706
0.015,1.0,0.03,0.4774290119266244,0.0
0.015,1.1,0.03,0.47808775208190946,0.0
0.015,1.2,0.03,0.47869722984395957,0.0
0.015,1.3,0.03,0.4792485838370017,0.0
0.015,1.4,0.03,0.4797330738493544,0.0
0.015,1.5,0.03,0.4801419864251141,0.0
0.015,1.6,0.03,0.4804662686672708,0.0
0.015,1.75,0.03,0.4807755818679432,0.0002023529411764706
0.015,2.0,0.03,0.48083955326561034,0.0004076470588235294
0.015,1.0,0.05,0.4774290119266244,0.0
0.015,1.1,0.05,0.4775639023053916,0.0
0.015,1.2,0.05,0.4776442237589008,0.0
0.015,1.3,0.05,0.47766702880635376,0.0
0.015,1.4,0.05,0.47762964701118427,0.0
0.015,1.5,0.05,0.4775295616835336,0.0
0.015,1.6,0.05,0.4773641232333473,0.0
0.015,1.75,0.05,0.4769981326360088,0.0002023529411764706
0.015,2.0,0.05,0.47610456855356587,0.0006035294117647059
0.03,1.0,0.0,0.4978400345185736,0.0
0.03,1.1,0.0,0.5000984668660751,0.0
0.03,1.2,0.0,0.5022822557707899,0.0
0.03,1.3,0.0,0.5043602099861678,0.0
0.03,1.4,0.0,0.5063020650227059,0.0
0.03,1.5,0.0,0.508077975502501,0.0
0.03,1.6,0.0,0.50965658311207,0.0
0.03,1.75,0.0,0.5115636564885162,0.0
0.03,2.0,0.0,0.5135154009589975,0.0002023529411764706
0.03,1.0,0.01,0.4978400345185736,0.0
0.03,1.1,0.01,0.4996500953393246,0.0
0.03,1.2,0.01,0.5013639105855809,0.0
0.03,1.3,0.01,0.5029572616578069,0.0
0.03,1.4,0.01,0.5044066974513989,0.0
0.03,1.5,0.01,0.505688873205716,0.0
0.03,1.6,0.01,0.5067787005621748,0.0
0.03,1.75,0.01,0.5079760669621749,0.0
0.03,2.0,0.01,0.5088681838838408,0.0002023529411764706
0.03,1.0,0.02,0.4978400345185736,0.0
0.03,1.1,0.02,0.49920533865160066,0.0
0.03,1.2,0.02,0.500459546048281,0.0
0.03,1.3,0.02,0.5015846249569424,0.0
0.03,1.4,0.02,0.5025631742286739,0.0
0.03,1.5,0.02,0.5033777180384132,0.0
0.03,1.6,0.02,0.5040090106332362,0.0
0.03,1.75,0.02,0.5045498769883519,0.0002023529411764706
0.03,2.0,0.02,0.5044825517316633,0.0002023529411764706
0.03,1.0,0.03,0.4978400345185736,0.0
0.03,1.1,0.03,0.4987642061761056,0.0
0.03,1.2,0.03,0.49956925854667056,0.0
0.03,1.3,0.03,0.5002426774117837,0.0
0.03,1.4,0.03,0.5007724668354165,0.0
0.03,1.5,0.03,0.5011464702667766,0.0
0.03,1.6,0.03,0.501350870274377,0.0
0.03,1.75,0.03,0.5013050455609114,0.0002023529411764706
0.03,2.0,0.03,0.5003775131655249,0.0004076470588235294
0.03,1.0,0.05,0.4978400345185736,0.0
0.03,1.1,0.05,0.497892846143218,0.0
0.03,1.2,0.05,0.4978312204386873,0.0
0.03,1.3,0.05,0.49765197839030567,0.0
0.03,1.4,0.05,0.4973522565906271,0.0
0.03,1.5,0.05,0.4969289735465203,0.0
0.03,1.6,0.05,0.4963777377177475,0.0
0.03,1.75,0.05,0.49532045545191394,0.0002023529411764706
0.03,2.0,0.05,0.49301789775460547,0.0006035294117647059
0.05,1.0,0.0,0.5218198344565345,0.0
0.05,1.1,0.0,0.5248031282494217,0.0
0.05,1.2,0.0,0.527608363686121,0.0
0.05,1.3,0.0,0.5301975563586188,0.0
0.05,1.4,0.0,0.5325352283861583,0.0
0.05,1.5,0.0,0.5345862467076692,0.0
0.05,1.6,0.0,0.5363111190040057,0.0
0.05,1.75,0.0,0.5381466691705593,0.0
0.05,2.0,0.0,0.5393091990221462,0.0002023529411764706
0.05,1.0,0.01,0.5218198344565345,0.0
0.05,1.1,0.01,0.5241693239706496,0.0
0.05,1.2,0.01,0.5263234842952322,0.0
0.05,1.3,0.01,0.5282533112877896,0.0
0.05,1.4,0.01,0.5299313485168543,0.0
0.05,1.5,0.01,0.5313295941081362,0.0
0.05,1.6,0.01,0.5324151328093447,0.0
0.05,1.75,0.01,0.533330330578282,0.0
0.05,2.0,0.01,0.5331528754821825,0.0002023529411764706
0.05,1.0,0.02,0.5218198344565345,0.0
0.05,1.1,0.02,0.5235395648018822,0.0
0.05,1.2,0.02,0.5250539619121519,0.0
0.05,1.3,0.02,0.5263418742281456,0.0
0.05,1.4,0.02,0.5273830015022939,0.0
0.05,1.5,0.02,0.5281559613146767,0.0
0.05,1.6,0.02,0.5286343173848256,0.0
0.05,1.75,0.02,0.5286878177796427,0.0002023529411764706
0.05,2.0,0.02,0.5272845127554283,0.0002023529411764706
0.05,1.0,0.03,0.5218198344565345,0.0
0.05,1.1,0.03,0.5229138863318006,0.0
0.05,1.2,0.03,0.5238000952074612,0.0
0.05,1.3,0.03,0.5244642708994457,0.0
0.05,1.4,0.03,0.5248925999336577,0.0
0.05,1.5,0.03,0.525069923071043,0.0
0.05,1.6,0.03,0.5249761903260196,0.0
0.05,1.75,0.03,0.5242619926982236,0.0002023529411764706
0.05,2.0,0.03,0.5217430683537084,0.0004076470588235294
0.05,1.0,0.05,0.5218198344565345,0.0
0.05,1.1,0.05,0.5216749068149569,0.0
0.05,1.2,0.05,0.5213404191375983,0.0
0.05,1.3,0.05,0.5208141799078385,0.0
0.05,1.4,0.05,0.5200938574851516,0.0
0.05,1.5,0.05,0.519175706053306,0.0
0.05,1.6,0.05,0.5180518568689053,0.0
0.05,1.75,0.05,0.515990187148762,0.0002023529411764706
0.05,2.0,0.05,0.5116858827569438,0.0006035294117647059
0.07,1.0,0.0,0.5434578319234058,0.0
0.07,1.1,0.0,0.5469788432957343,0.0
0.07,1.2,0.0,0.5502222523496664,0.0
0.07,1.3,0.0,0.553147321675595,0.0
0.07,1.4,0.0,0.5557163847178951,0.0
0.07,1.5,0.0,0.5578908845739106,0.0
0.07,1.6,0.0,0.5596237189368912,0.0
