arm,scale,position,median_wealth,over_cutoff,equity,cec,prob_ruin,cutoff,free_area,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off
pension from the day work stops,0.015,below the free area,0.7245438035969703,0.10706263974647102,0.0,0.4845865289970413,0.33024,6.767475613460695,3.014330021789434,0.96964,0.02844,0.00192
pension from the day work stops,0.03,below the free area,1.4490876071939407,0.21412527949294205,0.0,0.4875180874920838,0.33024,6.767475613460695,3.014330021789434,0.83488,0.14296,0.02216
pension from the day work stops,0.05,below the free area,2.415146011989901,0.35687546582157004,0.0,0.4923427417179464,0.33024,6.767475613460695,3.014330021789434,0.61436,0.30004,0.0856
pension from the day work stops,0.07,inside the taper band,3.3812044167858617,0.4996256521501981,0.0,0.49941662094821865,0.33024,6.767475613460695,3.014330021789434,0.43836,0.38344,0.1782
pension from the day work stops,0.09,inside the taper band,4.347262821581822,0.6423758384788261,0.0,0.5057065246732313,0.33024,6.767475613460695,3.014330021789434,0.31356,0.4078,0.27864
pension from the day work stops,0.11,inside the taper band,5.3133212263777825,0.7851260248074542,0.0,0.5140410817522271,0.33024,6.767475613460695,3.014330021789434,0.23008,0.39468,0.37524
pension from the day work stops,0.13,inside the taper band,6.279379631173743,0.9278762111360822,0.0,0.5239943797260066,0.33024,6.767475613460695,3.014330021789434,0.17036,0.36928,0.46036
pension from the day work stops,0.15,above the cut-off,7.245438035969704,1.0706263974647103,0.0,0.5338668315512762,0.33024,6.767475613460695,3.014330021789434,0.12804,0.335,0.53696
pension from the day work stops,0.17,above the cut-off,8.211496440765664,1.2133765837933383,0.0,0.5436143309492169,0.33024,6.767475613460695,3.014330021789434,0.10048,0.29772,0.6018
pension from the day work stops,0.2,above the cut-off,9.660584047959604,1.4275018632862801,0.0,0.5596650844395356,0.33024,6.767475613460695,3.014330021789434,0.06912,0.25,0.68088
pension from the day work stops,0.25,above the cut-off,12.075730059949507,1.7843773291078504,0.0,0.5884599288965005,0.33024,6.767475613460695,3.014330021789434,0.03948,0.1854,0.77512
pension from the day work stops,0.35,above the cut-off,16.906022083929308,2.4981282607509905,0.0,0.6420133011073919,0.33024,6.767475613460695,3.014330021789434,0.01624,0.10216,0.8816
pension from the day work stops,0.6,above the cut-off,28.981752143878815,4.282505589858841,0.1,0.7635668273553964,0.259,6.767475613460695,3.014330021789434,0.00348,0.03004,0.96648
pension from the day work stops,1.0,above the cut-off,48.30292023979803,7.137509316431402,0.55,0.933439758310023,0.09072,6.767475613460695,3.014330021789434,0.0008,0.00776,0.99144
four years before the pension starts,0.015,below the free area,0.5464044687663316,0.08073977653935216,0.0,0.39412600096253875,0.45992,6.767475613460695,3.014330021789434,0.99072,0.0088,0.00048
four years before the pension starts,0.03,below the free area,1.0928089375326633,0.16147955307870432,0.0,0.4114996272705405,0.45992,6.767475613460695,3.014330021789434,0.92304,0.07096,0.006
four years before the pension starts,0.05,below the free area,1.8213482292211058,0.2691325884645072,0.0,0.43248360527142216,0.45992,6.767475613460695,3.014330021789434,0.76428,0.20192,0.0338
four years before the pension starts,0.07,below the free area,2.549887520909548,0.3767856238503101,0.0,0.44639449107127904,0.45992,6.767475613460695,3.014330021789434,0.59432,0.32148,0.0842
four years before the pension starts,0.09,inside the taper band,3.27842681259799,0.48443865923611296,0.0,0.4524172806182768,0.45992,6.767475613460695,3.014330021789434,0.45324,0.3952,0.15156
four years before the pension starts,0.11,inside the taper band,4.006966104286431,0.5920916946219157,0.0,0.4622313672608402,0.45992,6.767475613460695,3.014330021789434,0.34768,0.42548,0.22684
four years before the pension starts,0.13,inside the taper band,4.735505395974874,0.6997447300077186,0.0,0.47229385561906434,0.45992,6.767475613460695,3.014330021789434,0.2696,0.42788,0.30252
four years before the pension starts,0.15,inside the taper band,5.464044687663316,0.8073977653935215,0.0,0.4826147034882317,0.45992,6.767475613460695,3.014330021789434,0.2094,0.41072,0.37988
four years before the pension starts,0.17,inside the taper band,6.19258397935176,0.9150508007793245,0.0,0.4941597892176954,0.45992,6.767475613460695,3.014330021789434,0.16396,0.38664,0.4494
four years before the pension starts,0.2,above the cut-off,7.285392916884423,1.0765303538580289,0.0,0.5102470427407315,0.45992,6.767475613460695,3.014330021789434,0.11656,0.34228,0.54116
four years before the pension starts,0.25,above the cut-off,9.106741146105527,1.345662942322536,0.0,0.5357532591048771,0.45992,6.767475613460695,3.014330021789434,0.06768,0.27376,0.65856
four years before the pension starts,0.35,above the cut-off,12.749437604547737,1.88392811925155,0.0,0.5809317499703264,0.45992,6.767475613460695,3.014330021789434,0.02704,0.16716,0.8058
four years before the pension starts,0.6,above the cut-off,21.856178750653264,3.229591061574086,0.05,0.681572814340952,0.419,6.767475613460695,3.014330021789434,0.0048,0.05128,0.94392
four years before the pension starts,1.0,above the cut-off,36.42696458442211,5.382651769290144,0.4,0.8396899260598926,0.189,6.767475613460695,3.014330021789434,0.00092,0.01224,0.98684
spending a share of the balance,0.015,below the free area,0.7245438035969703,0.10706263974647102,1.0,0.5087330011406442,0.0,6.767475613460695,3.014330021789434,0.96964,0.02844,0.00192
spending a share of the balance,0.03,below the free area,1.4490876071939407,0.21412527949294205,1.0,0.5327760424684518,0.0,6.767475613460695,3.014330021789434,0.83488,0.14296,0.02216
spending a share of the balance,0.05,below the free area,2.415146011989901,0.35687546582157004,1.0,0.5437922956776516,0.0,6.767475613460695,3.014330021789434,0.61436,0.30004,0.0856
spending a share of the balance,0.07,inside the taper band,3.3812044167858617,0.4996256521501981,1.0,0.5496528841030719,0.0,6.767475613460695,3.014330021789434,0.43836,0.38344,0.1782
spending a share of the balance,0.09,inside the taper band,4.347262821581822,0.6423758384788261,1.0,0.5560942368937747,0.0,6.767475613460695,3.014330021789434,0.31356,0.4078,0.27864
spending a share of the balance,0.11,inside the taper band,5.3133212263777825,0.7851260248074542,1.0,0.564744365189356,0.0,6.767475613460695,3.014330021789434,0.23008,0.39468,0.37524
spending a share of the balance,0.13,inside the taper band,6.279379631173743,0.9278762111360822,1.0,0.5749825991106624,0.0,6.767475613460695,3.014330021789434,0.17036,0.36928,0.46036
spending a share of the balance,0.15,above the cut-off,7.245438035969704,1.0706263974647103,1.0,0.5866578536514282,0.0,6.767475613460695,3.014330021789434,0.12804,0.335,0.53696
spending a share of the balance,0.17,above the cut-off,8.211496440765664,1.2133765837933383,1.0,0.5991207613383103,0.0,6.767475613460695,3.014330021789434,0.10048,0.29772,0.6018
spending a share of the balance,0.2,above the cut-off,9.660584047959604,1.4275018632862801,1.0,0.6187050727169163,0.0,6.767475613460695,3.014330021789434,0.06912,0.25,0.68088
spending a share of the balance,0.25,above the cut-off,12.075730059949507,1.7843773291078504,1.0,0.6524989461603585,0.0,6.767475613460695,3.014330021789434,0.03948,0.1854,0.77512
spending a share of the balance,0.35,above the cut-off,16.906022083929308,2.4981282607509905,1.0,0.7218170915849643,0.0,6.767475613460695,3.014330021789434,0.01624,0.10216,0.8816
spending a share of the balance,0.6,above the cut-off,28.981752143878815,4.282505589858841,1.0,0.8937351013776381,0.0,6.767475613460695,3.014330021789434,0.00348,0.03004,0.96648
spending a share of the balance,1.0,above the cut-off,48.30292023979803,7.137509316431402,1.0,1.14873688679658,0.0,6.767475613460695,3.014330021789434,0.0008,0.00776,0.99144
