rule_label,cec_fixed,cec_mortality,rank_fixed,rank_mortality,rank_change
amortisation (4% assumed return),1.374391183099597,1.4072029794783194,2,1,1
gompertz,1.380609995035923,1.384369511575113,1,2,-1
constant_percent,1.3258278151226597,1.371775698414926,4,3,1
endowment (light smoothing),1.3255066427605533,1.3715097738903381,5,4,1
endowment,1.3097193687195803,1.3560869104689324,7,5,2
amortisation (2% assumed return),1.3463317262829164,1.3547690433293607,3,6,-3
guyton_klinger (tight band),1.307171584381608,1.3451273366837733,8,7,1
guyton_klinger,1.2990794274403983,1.3374487089196527,9,8,1
guyton_klinger (no inflation rule),1.2786882056299154,1.3236310175270023,12,9,3
gompertz (+5y buffer),1.3108816206519736,1.2965264604415323,6,10,-4
vanguard_dynamic (asymmetric),1.2270402642387184,1.2786117331743458,15,11,4
amortisation (0% assumed return),1.2854669186610315,1.2753993856910406,10,12,-2
life_expectancy,1.2854669186610315,1.2753993856910406,10,12,-2
vanguard_dynamic,1.2288224625059725,1.26686766816651,14,14,0
life_expectancy (+5y buffer),1.239198462181553,1.2099355301063557,13,15,-2
constant_real,1.1204125526372777,1.1694575670784582,16,16,0
