system,retirement_year,equity,domestic
us_social_security,0,1.0,0.1
us_social_security,1,1.0,0.1
us_social_security,2,1.0,0.1
us_social_security,3,1.0,0.1
us_social_security,4,1.0,0.1
us_social_security,5,1.0,0.1
us_social_security,6,1.0,0.1
us_social_security,7,1.0,0.1
us_social_security,8,1.0,0.1
us_social_security,9,1.0,0.1
us_social_security,10,1.0,0.1
us_social_security,11,1.0,0.1
us_social_security,12,1.0,0.1
us_social_security,13,1.0,0.1
us_social_security,14,1.0,0.1
us_social_security,15,1.0,0.1
us_social_security,16,1.0,0.1
us_social_security,17,1.0,0.1
us_social_security,18,1.0,0.1
us_social_security,19,1.0,0.1
us_social_security,20,1.0,0.1
us_social_security,21,1.0,0.1
us_social_security,22,1.0,0.2
us_social_security,23,1.0,0.2
us_social_security,24,1.0,0.2
us_social_security,25,1.0,0.2
us_social_security,26,1.0,0.2
us_social_security,27,1.0,0.1
us_social_security,28,1.0,0.1
us_social_security,29,1.0,0.1
age_pension_matched,0,1.0,0.1
age_pension_matched,1,1.0,0.1
age_pension_matched,2,1.0,0.1
age_pension_matched,3,1.0,0.1
age_pension_matched,4,1.0,0.1
age_pension_matched,5,1.0,0.1
age_pension_matched,6,1.0,0.1
age_pension_matched,7,1.0,0.1
age_pension_matched,8,1.0,0.1
age_pension_matched,9,1.0,0.1
age_pension_matched,10,1.0,0.1
age_pension_matched,11,1.0,0.1
age_pension_matched,12,1.0,0.1
age_pension_matched,13,1.0,0.1
age_pension_matched,14,1.0,0.1
age_pension_matched,15,1.0,0.1
age_pension_matched,16,1.0,0.1
age_pension_matched,17,1.0,0.1
age_pension_matched,18,1.0,0.1
age_pension_matched,19,1.0,0.1
age_pension_matched,20,1.0,0.1
age_pension_matched,21,1.0,0.1
age_pension_matched,22,1.0,0.1
age_pension_matched,23,1.0,0.1
age_pension_matched,24,1.0,0.1
age_pension_matched,25,1.0,0.1
age_pension_matched,26,1.0,0.1
age_pension_matched,27,1.0,0.0
age_pension_matched,28,1.0,0.0
age_pension_matched,29,1.0,0.0
australia_as_legislated,0,1.0,0.1
australia_as_legislated,1,1.0,0.1
australia_as_legislated,2,1.0,0.1
australia_as_legislated,3,1.0,0.1
australia_as_legislated,4,1.0,0.1
australia_as_legislated,5,1.0,0.1
australia_as_legislated,6,1.0,0.1
australia_as_legislated,7,1.0,0.1
australia_as_legislated,8,1.0,0.1
australia_as_legislated,9,1.0,0.1
australia_as_legislated,10,1.0,0.1
australia_as_legislated,11,1.0,0.1
australia_as_legislated,12,1.0,0.1
australia_as_legislated,13,1.0,0.1
australia_as_legislated,14,1.0,0.1
australia_as_legislated,15,1.0,0.1
australia_as_legislated,16,1.0,0.1
australia_as_legislated,17,1.0,0.1
australia_as_legislated,18,1.0,0.1
australia_as_legislated,19,1.0,0.1
australia_as_legislated,20,1.0,0.1
australia_as_legislated,21,1.0,0.1
australia_as_legislated,22,1.0,0.1
australia_as_legislated,23,1.0,0.1
australia_as_legislated,24,1.0,0.1
australia_as_legislated,25,1.0,0.1
australia_as_legislated,26,1.0,0.1
australia_as_legislated,27,1.0,0.0
australia_as_legislated,28,1.0,0.0
australia_as_legislated,29,1.0,0.0
